timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1665919159733,201,GetAllUsers-1,200,OK,Thread Group 1-12,text,true,,1119,386,250,250,https://reqres.in/api/users?page=2,201,0,0
1665919159449,489,PostUser,201,Created,Thread Group 1-219,text,true,,744,461,250,250,https://reqres.in/api/users,489,0,0
1665919159435,503,UserLogin,200,OK,Thread Group 1-51,text,true,,682,481,250,250,https://reqres.in/api/login,503,0,0
1665919159436,505,PatchUser,200,OK,Thread Group 1-101,text,true,,771,471,250,250,https://reqres.in/api/users/2,505,0,0
1665919159435,512,PatchUser,200,OK,Thread Group 1-161,text,true,,773,471,250,250,https://reqres.in/api/users/2,512,0,0
1665919159430,517,PatchUser,200,OK,Thread Group 1-69,text,true,,771,471,250,250,https://reqres.in/api/users/2,517,0,0
1665919158436,1511,PatchUser,200,OK,Thread Group 1-86,text,true,,771,471,250,250,https://reqres.in/api/users/2,1511,0,0
1665919159750,211,GetSingleUser,200,OK,Thread Group 1-144,text,true,,946,381,250,250,https://reqres.in/api/users/2,211,0,0
1665919159750,214,GetSingleUser,200,OK,Thread Group 1-154,text,true,,944,381,250,250,https://reqres.in/api/users/2,214,0,0
1665919159753,211,GetSingleUser,200,OK,Thread Group 1-20,text,true,,940,381,250,250,https://reqres.in/api/users/2,211,0,0
1665919157467,2501,GetAllUsers,200,OK,Thread Group 1-2,text,true,,1789,772,250,250,https://reqres.in/api/users?page=2,1275,0,0
1665919157467,1275,GetAllUsers-0,301,Moved Permanently,Thread Group 1-2,,true,,672,386,250,250,http://reqres.in/api/users?page=2,1275,0,0
1665919158742,1226,GetAllUsers-1,200,OK,Thread Group 1-2,text,true,,1117,386,250,250,https://reqres.in/api/users?page=2,1226,0,0
1665919159381,590,Homepage,200,OK,Thread Group 1-31,text,true,,7784,441,250,250,https://reqres.in/,590,0,0
1665919158461,1513,PatchUser,200,OK,Thread Group 1-27,text,true,,771,471,250,250,https://reqres.in/api/users/2,1513,0,0
1665919158520,1453,GetAllUsers,200,OK,Thread Group 1-197,text,true,,1785,772,250,250,https://reqres.in/api/users?page=2,363,0,0
1665919158520,363,GetAllUsers-0,301,Moved Permanently,Thread Group 1-197,,true,,664,386,250,250,http://reqres.in/api/users?page=2,363,0,0
1665919158883,1090,GetAllUsers-1,200,OK,Thread Group 1-197,text,true,,1121,386,250,250,https://reqres.in/api/users?page=2,1090,0,0
1665919159758,216,GetSingleUser,200,OK,Thread Group 1-243,text,true,,956,381,250,250,https://reqres.in/api/users/2,216,0,0
1665919159521,458,GetAllUsers,200,OK,Thread Group 1-80,text,true,,1797,772,250,250,https://reqres.in/api/users?page=2,252,0,0
1665919159521,252,GetAllUsers-0,301,Moved Permanently,Thread Group 1-80,,true,,666,386,250,250,http://reqres.in/api/users?page=2,252,0,0
1665919159773,206,GetAllUsers-1,200,OK,Thread Group 1-80,text,true,,1131,386,250,250,https://reqres.in/api/users?page=2,206,0,0
1665919158474,1506,GetAllUsers,200,OK,Thread Group 1-70,text,true,,1777,772,250,250,https://reqres.in/api/users?page=2,346,0,0
1665919158474,346,GetAllUsers-0,301,Moved Permanently,Thread Group 1-70,,true,,656,386,250,250,http://reqres.in/api/users?page=2,346,0,0
1665919158820,1160,GetAllUsers-1,200,OK,Thread Group 1-70,text,true,,1121,386,250,250,https://reqres.in/api/users?page=2,1160,0,0
1665919158754,1226,GetAllUsers,200,OK,Thread Group 1-225,text,true,,1799,772,250,250,https://reqres.in/api/users?page=2,1001,0,0
1665919158754,1001,GetAllUsers-0,301,Moved Permanently,Thread Group 1-225,,true,,668,386,250,250,http://reqres.in/api/users?page=2,1001,0,0
1665919159755,225,GetAllUsers-1,200,OK,Thread Group 1-225,text,true,,1131,386,250,250,https://reqres.in/api/users?page=2,225,0,0
1665919159751,233,GetSingleUser,200,OK,Thread Group 1-10,text,true,,950,381,250,250,https://reqres.in/api/users/2,233,0,0
1665919159801,185,GetSingleUser,200,OK,Thread Group 1-21,text,true,,942,381,250,250,https://reqres.in/api/users/2,185,0,0
1665919159754,235,GetSingleUser,200,OK,Thread Group 1-167,text,true,,948,381,250,250,https://reqres.in/api/users/2,235,0,0
1665919158538,1452,UserLogin,200,OK,Thread Group 1-250,text,true,,686,481,250,250,https://reqres.in/api/login,1452,0,0
1665919156614,3379,Homepage,200,OK,Thread Group 1-182,text,true,,7836,441,250,250,https://reqres.in/,3379,0,0
1665919159817,178,GetSingleUser,200,OK,Thread Group 1-168,text,true,,944,381,250,250,https://reqres.in/api/users/2,178,0,0
1665919159541,454,GetAllUsers,200,OK,Thread Group 1-25,text,true,,1793,772,250,250,https://reqres.in/api/users?page=2,273,0,0
1665919159541,273,GetAllUsers-0,301,Moved Permanently,Thread Group 1-25,,true,,670,386,250,250,http://reqres.in/api/users?page=2,273,0,0
1665919159814,181,GetAllUsers-1,200,OK,Thread Group 1-25,text,true,,1123,386,250,250,https://reqres.in/api/users?page=2,181,0,0
1665919159811,185,GetSingleUser,200,OK,Thread Group 1-7,text,true,,946,381,250,250,https://reqres.in/api/users/2,185,0,0
1665919159544,456,GetAllUsers,200,OK,Thread Group 1-22,text,true,,1793,772,250,250,https://reqres.in/api/users?page=2,281,0,0
1665919159544,281,GetAllUsers-0,301,Moved Permanently,Thread Group 1-22,,true,,674,386,250,250,http://reqres.in/api/users?page=2,281,0,0
1665919159825,175,GetAllUsers-1,200,OK,Thread Group 1-22,text,true,,1119,386,250,250,https://reqres.in/api/users?page=2,175,0,0
1665919159818,184,GetSingleUser,200,OK,Thread Group 1-221,text,true,,950,381,250,250,https://reqres.in/api/users/2,184,0,0
1665919158475,1529,PostUser,201,Created,Thread Group 1-47,text,true,,744,461,250,250,https://reqres.in/api/users,1529,0,0
1665919159833,173,GetSingleUser,200,OK,Thread Group 1-126,text,true,,940,381,250,250,https://reqres.in/api/users/2,173,0,0
